Dispositivos,Profundidad,Retardo
16,6,327.0
16,7,330.0
16,8,327.0
16,10,326.0
16,11,328.0
16,12,328.0
16,13,327.0
16,14,324.0
16,15,325.0
16,16,329.0
16,17,328.0
16,18,331.0
16,19,331.0
16,20,335.0
16,21,332.0
16,24,330.0
16,25,333.0
16,26,331.0
16,29,331.0
16,30,333.0
