Terminales,Profundidad,Ancho_de_Banda
16,6,0.12
16,7,0.12
16,8,0.12
16,10,0.12
16,11,0.12
16,12,0.12
16,13,0.12
16,14,0.12
16,15,0.12
16,16,0.12
16,17,0.12
16,18,0.12
16,19,0.12
16,20,0.12
16,21,0.12
16,24,0.12
16,25,0.12
16,26,0.12
16,29,0.12
16,30,0.12
