Terminales,Profundidad,Ancho_de_Banda
16,6,0.15
16,7,0.15
16,8,0.15
16,10,0.15
16,11,0.14
16,12,0.15
16,13,0.15
16,14,0.14
16,15,0.14
16,16,0.14
16,17,0.14
16,18,0.14
16,19,0.14
16,20,0.13
16,21,0.13
16,24,0.13
16,25,0.14
16,26,0.13
16,29,0.13
16,30,0.13
